#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
132,i++;,,,,,,,,0,,,
133,"area += curve_area(p0.x, p0.y, p1.x, p1.y, p2.x, p2.y, wdim.x, wdim.y);",,,,,,,,0,,,
134,p0 = p2;,,,,,,,,0,,,
135,},,,,,,,,0,,,
136,return area / (wdim.x * wdim.y);,,,,,,,,0,,,
137,},,,,,,,,0,,,
138,,,,,,,,,0,,,
139,// Text-space rect corners (relative to instance origin) -> em-space bbox under the,,,,,,,,0,,,
140,"// instance's pixel->em transform, the footprint parallelogram's bounds.",,,,,,,,0,,,
141,"void em_box(vec4 inv, vec2 rMin, vec2 rMax, out vec2 lo, out vec2 hi)",,,,,,,,0,,,
142,{,,,,,,,,0,,,
143,"vec2 c10 = vec2(rMax.x, rMin.y);",,,,,,,,0,,,
144,"vec2 c01 = vec2(rMin.x, rMax.y);",,,,,,,,0,,,
145,"vec2 e00 = vec2(dot(inv.xy, rMin), dot(inv.zw, rMin));",,,,,,,,0,,,
146,"vec2 e11 = vec2(dot(inv.xy, rMax), dot(inv.zw, rMax));",,,,,,,,0,,,
147,"vec2 e10 = vec2(dot(inv.xy, c10), dot(inv.zw, c10));",,,,,,,,0,,,
148,"vec2 e01 = vec2(dot(inv.xy, c01), dot(inv.zw, c01));",,,,,,,,0,,,
149,"lo = min(min(e00, e11), min(e10, e01));",,,,,,,,0,,,
150,"hi = max(max(e00, e11), max(e10, e01));",,,,,,,,0,,,
151,},,,,,,,,0,,,
152,,,,,,,,,0,,,
153,"// Premultiplied contribution of one instance over the text-space window [rMin, rMax]:",,,,,,,,0,,,
154,// per-glyph coverage clamp times instance color.,,,,,,,,0,,,
155,"vec4 shade_window(uint idx, vec2 rMin, vec2 rMax)",,,,,,,,0,,,
156,{,,,,,,,,0,,,
157,GlyphInstance gi = instances[idx];,,,,,,,,0,,,
158,GlyphEntry g = glyphs[gi.glyphID];,,,,,,,,0,,,
159,if (g.curveCount == 0u),,,,,,,,0,,,
160,return vec4(0.0);,,,,,,,,0,,,
161,"vec2 lo, hi;",,,,,,,,0,,,
162,"em_box(gi.inv, rMin - gi.origin, rMax - gi.origin, lo, hi);",,,,,,,,0,,,
163,if (lo.x >= g.bboxMax.x || hi.x <= g.bboxMin.x || lo.y >= g.bboxMax.y || hi.y <= g.bboxMin.y),,,,,,,,0,,,
164,return vec4(0.0);,,,,,,,,0,,,
165,"float cov = clamp(window_sum(g, lo, hi - lo), 0.0, 1.0);",,,,,,,,0,,,
166,return gi.color * cov;,,,,,,,,0,,,
167,},,,,,,,,0,,,
168,"""",,,,,,,,0,,,
